,Filename,instance_score,is_outlier
13,ISIC_0024457.jpg,0.0134353265,1
53,ISIC_0025383.jpg,0.0058902088,1
54,ISIC_0025417.jpg,0.0053495686,1
56,ISIC_0025467.jpg,0.011313359,1
61,ISIC_0025564.jpg,0.0062616826,1
63,ISIC_0025584.jpg,0.011040635,1
88,ISIC_0026154.jpg,0.0059721903,1
89,ISIC_0026156.jpg,0.0061375443,1
94,ISIC_0026321.jpg,0.0113739995,1
97,ISIC_0026343.jpg,0.0071479995,1
101,ISIC_0026439.jpg,0.007408561,1
106,ISIC_0026574.jpg,0.00898382,1
118,ISIC_0026845.jpg,0.007981769,1
124,ISIC_0026957.jpg,0.0061623952,1
126,ISIC_0026978.jpg,0.0055705993,1
132,ISIC_0027057.jpg,0.005438714,1
142,ISIC_0027229.jpg,0.0057175406,1
150,ISIC_0027433.jpg,0.019992411,1
157,ISIC_0027545.jpg,0.008906112,1
161,ISIC_0027609.jpg,0.009854294,1
166,ISIC_0027704.jpg,0.0052331123,1
177,ISIC_0027858.jpg,0.007851782,1
192,ISIC_0028113.jpg,0.005523995,1
195,ISIC_0028155.jpg,0.009457523,1
214,ISIC_0028583.jpg,0.008239623,1
218,ISIC_0028671.jpg,0.009404037,1
236,ISIC_0028937.jpg,0.008015239,1
249,ISIC_0029123.jpg,0.006481132,1
251,ISIC_0029192.jpg,0.0052669016,1
264,ISIC_0029372.jpg,0.0073683024,1
271,ISIC_0029515.jpg,0.013741303,1
316,ISIC_0030446.jpg,0.010927633,1
321,ISIC_0030528.jpg,0.009787933,1
326,ISIC_0030687.jpg,0.010889833,1
334,ISIC_0030778.jpg,0.00609035,1
362,ISIC_0031263.jpg,0.011675491,1
381,ISIC_0031527.jpg,0.00902025,1
403,ISIC_0031976.jpg,0.0077863,1
404,ISIC_0031986.jpg,0.0053010737,1
411,ISIC_0032146.jpg,0.0065804645,1
429,ISIC_0032536.jpg,0.009402209,1
457,ISIC_0033248.jpg,0.005316069,1
464,ISIC_0033468.jpg,0.005743867,1
465,ISIC_0033483.jpg,0.0055899206,1
478,ISIC_0034026.jpg,0.006586158,1
479,ISIC_0034047.jpg,0.005762815,1
481,ISIC_0034066.jpg,0.0053474163,1
485,ISIC_0034123.jpg,0.005964043,1
515,ISIC_0053583.jpg,0.005396735,1
571,ISIC_0054075.jpg,0.0055708434,1
612,ISIC_0054365.jpg,0.00581857,1
635,ISIC_0054539.jpg,0.009373952,1
648,ISIC_0054619.jpg,0.007739958,1
653,ISIC_0054649.jpg,0.0072792456,1
665,ISIC_0054735.jpg,0.011050244,1
673,ISIC_0054782.jpg,0.0054136436,1
733,ISIC_0055221.jpg,0.008403265,1
741,ISIC_0055274.jpg,0.0080731,1
745,ISIC_0055313.jpg,0.008368854,1
786,ISIC_0055638.jpg,0.005834378,1
789,ISIC_0055663.jpg,0.009042127,1
799,ISIC_0055728.jpg,0.0056500123,1
800,ISIC_0055730.jpg,0.006728279,1
810,ISIC_0055766.jpg,0.010487867,1
812,ISIC_0055772.jpg,0.005853469,1
837,ISIC_0055940.jpg,0.00672937,1
860,ISIC_0056106.jpg,0.00593571,1
862,ISIC_0056126.jpg,0.005814565,1
867,ISIC_0056153.jpg,0.01004018,1
889,ISIC_0056293.jpg,0.0056195394,1
900,ISIC_0056383.jpg,0.006125773,1
931,ISIC_0056696.jpg,0.0063138553,1
955,ISIC_0056889.jpg,0.0054592616,1
982,ISIC_0057075.jpg,0.0058856867,1
1068,ISIC_0057732.jpg,0.0077946135,1
1070,ISIC_0057751.jpg,0.0054738023,1
1075,ISIC_0057820.jpg,0.007278893,1
1114,ISIC_0058084.jpg,0.005577355,1
1137,ISIC_0058264.jpg,0.005880738,1
1161,ISIC_0058447.jpg,0.006246643,1
1193,ISIC_0058678.jpg,0.0073397164,1
1216,ISIC_0058784.jpg,0.006295882,1
1225,ISIC_0058842.jpg,0.0067340224,1
1242,ISIC_0058984.jpg,0.007906489,1
1280,ISIC_0059210.jpg,0.006157,1
1286,ISIC_0059241.jpg,0.0059561543,1
1300,ISIC_0059366.jpg,0.0083629405,1
1323,ISIC_0059563.jpg,0.01288481,1
1350,ISIC_0059729.jpg,0.008242092,1
1375,ISIC_0059882.jpg,0.009301747,1
1395,ISIC_0059999.jpg,0.007978965,1
1474,ISIC_0060533.jpg,0.006207799,1
1518,ISIC_0060868.jpg,0.008046662,1
1606,ISIC_0061440.jpg,0.0069554145,1
1628,ISIC_0061615.jpg,0.00763263,1
1635,ISIC_0061683.jpg,0.018708501,1
1649,ISIC_0061861.jpg,0.0055708434,1
1652,ISIC_0061866.jpg,0.00644565,1
1682,ISIC_0062121.jpg,0.0058985525,1
1896,ISIC_0063803.jpg,0.0053116195,1
1926,ISIC_0064021.jpg,0.0052754967,1
1934,ISIC_0064099.jpg,0.019619493,1
1940,ISIC_0064150.jpg,0.01117653,1
1947,ISIC_0064210.jpg,0.006830916,1
1997,ISIC_0064599.jpg,0.0053424793,1
2015,ISIC_0064684.jpg,0.0060927416,1
2047,ISIC_0064970.jpg,0.0058272784,1
2055,ISIC_0065031.jpg,0.008502308,1
2083,ISIC_0065207.jpg,0.005844762,1
2129,ISIC_0065548.jpg,0.005481914,1
2141,ISIC_0065602.jpg,0.0060158144,1
2161,ISIC_0065743.jpg,0.014124262,1
2162,ISIC_0065751.jpg,0.005351124,1
2169,ISIC_0065804.jpg,0.010873797,1
2178,ISIC_0065856.jpg,0.0053068604,1
2189,ISIC_0065922.jpg,0.006341317,1
2194,ISIC_0065971.jpg,0.010257396,1
2198,ISIC_0066009.jpg,0.007119961,1
2215,ISIC_0066119.jpg,0.007624281,1
2262,ISIC_0066449.jpg,0.012714848,1
2281,ISIC_0066558.jpg,0.006664883,1
2283,ISIC_0066566.jpg,0.0059485673,1
2317,ISIC_0066774.jpg,0.005482342,1
2335,ISIC_0066881.jpg,0.005367169,1
2409,ISIC_0067380.jpg,0.0052382126,1
2420,ISIC_0067486.jpg,0.013102966,1
2426,ISIC_0067552.jpg,0.0053990767,1
2442,ISIC_0067680.jpg,0.005823294,1
2467,ISIC_0067833.jpg,0.005430887,1
2479,ISIC_0067988.jpg,0.0062444974,1
2482,ISIC_0067993.jpg,0.0062504592,1
2519,ISIC_0068250.jpg,0.0053941295,1
2547,ISIC_0068451.jpg,0.0058729765,1
2565,ISIC_0068642.jpg,0.018312586,1
2566,ISIC_0068644.jpg,0.0061167297,1
2592,ISIC_0068813.jpg,0.005292998,1
2615,ISIC_0069001.jpg,0.009276423,1
2652,ISIC_0069249.jpg,0.005424995,1
2676,ISIC_0069423.jpg,0.0056049135,1
2737,ISIC_0069804.jpg,0.0055972473,1
2739,ISIC_0069812.jpg,0.009493347,1
2760,ISIC_0069975.jpg,0.0055197147,1
2807,ISIC_0070301.jpg,0.005944804,1
2847,ISIC_0070652.jpg,0.005367004,1
2849,ISIC_0070661.jpg,0.005830122,1
2925,ISIC_0071172.jpg,0.005384391,1
2968,ISIC_0071513.jpg,0.0053550466,1
2972,ISIC_0071549.jpg,0.006669454,1
2975,ISIC_0071570.jpg,0.006764036,1
2991,ISIC_0071692.jpg,0.005683526,1
3078,ISIC_0072361.jpg,0.0060963747,1
3081,ISIC_0072386.jpg,0.006062091,1
3086,ISIC_0072434.jpg,0.0053650658,1
3092,ISIC_0072465.jpg,0.0058129136,1
3094,ISIC_0072474.jpg,0.0059117894,1
3115,ISIC_0072603.jpg,0.007320959,1
3132,ISIC_0072673.jpg,0.0068949424,1
3134,ISIC_0072693.jpg,0.011042734,1
3148,ISIC_0072789.jpg,0.0058678538,1
3149,ISIC_0072805.jpg,0.013498967,1
3189,ISIC_0073055.jpg,0.008365492,1
3206,ISIC_0073137.jpg,0.009268562,1
